cell,gene_symbol
ADAL,mod-1
ADAR,mod-1
AIML,mod-1
AIMR,mod-1
AIZL,mod-1
AIZR,mod-1
AVEL,mod-1
AVER,mod-1
DB1,mod-1
DVB,mod-1
M1,mod-1
MCL,mod-1
MCR,mod-1
NSML,mod-1
NSMR,mod-1
PVCL,mod-1
PVCR,mod-1
PVNL,mod-1
PVNR,mod-1
PVT,mod-1
RIGL,mod-1
RIGR,mod-1
RMGL,mod-1
RMGR,mod-1
URBL,mod-1
URBR,mod-1
VB1,mod-1
VB2,mod-1
ALML,lgc-40
ALMR,lgc-40
AVM,lgc-40
BAGL,lgc-40
BAGR,lgc-40
BDUL,lgc-40
BDUR,lgc-40
I3,lgc-40
IL2L,lgc-40
IL2R,lgc-40
M2L,lgc-40
M2R,lgc-40
M3L,lgc-40
M3R,lgc-40
MCL,lgc-40
MCR,lgc-40
MI,lgc-40
PVDL,lgc-40
PVDR,lgc-40
PVM,lgc-40
PVR,lgc-40
RIBL,lgc-40
RIBR,lgc-40
RIML,lgc-40
RIMR,lgc-40
RMDDL,lgc-40
RMDDR,lgc-40
RMDVL,lgc-40
RMDVR,lgc-40
ADEL,lgc-53
ADER,lgc-53
ALA,lgc-53
ASGL,lgc-53
ASGR,lgc-53
AVAL,lgc-53
AVAR,lgc-53
AVEL,lgc-53
AVER,lgc-53
AVFL,lgc-53
AVFR,lgc-53
AWAL,lgc-53
AWAR,lgc-53
BDUL,lgc-53
BDUR,lgc-53
CEPDL,lgc-53
CEPDR,lgc-53
CEPVL,lgc-53
CEPVR,lgc-53
DVA,lgc-53
DVC,lgc-53
FLPL,lgc-53
FLPR,lgc-53
HSNL,lgc-53
HSNR,lgc-53
IL2DL,lgc-53
IL2DR,lgc-53
IL2L,lgc-53
IL2R,lgc-53
IL2VL,lgc-53
IL2VR,lgc-53
OLLL,lgc-53
OLLR,lgc-53
PDEL,lgc-53
PDER,lgc-53
PHCL,lgc-53
PHCR,lgc-53
PVDL,lgc-53
PVDR,lgc-53
PVM,lgc-53
PVR,lgc-53
PVWL,lgc-53
PVWR,lgc-53
RIBL,lgc-53
RIBR,lgc-53
RICL,lgc-53
RICR,lgc-53
RIGL,lgc-53
RIGR,lgc-53
RIPL,lgc-53
RIPR,lgc-53
RMGL,lgc-53
RMGR,lgc-53
RMHL,lgc-53
RMHR,lgc-53
SIADL,lgc-53
SIADR,lgc-53
SIAVL,lgc-53
SIAVR,lgc-53
SIBDL,lgc-53
SIBDR,lgc-53
SIBVL,lgc-53
SIBVR,lgc-53
SMDDL,lgc-53
SMDDR,lgc-53
SMDVL,lgc-53
SMDVR,lgc-53
VA12,lgc-53
ALML,lgc-55
ALMR,lgc-55
AVBL,lgc-55
AVBR,lgc-55
HSNL,lgc-55
HSNR,lgc-55
I3,lgc-55
IL1DL,lgc-55
IL1DR,lgc-55
IL1L,lgc-55
IL1R,lgc-55
IL1VL,lgc-55
IL1VR,lgc-55
LUAL,lgc-55
LUAR,lgc-55
M3L,lgc-55
M3R,lgc-55
PLML,lgc-55
PLMR,lgc-55
PVM,lgc-55
RIBL,lgc-55
RIBR,lgc-55
RID,lgc-55
RIGL,lgc-55
RIGR,lgc-55
RIML,lgc-55
RIMR,lgc-55
RMDL,lgc-55
RMDR,lgc-55
RMFL,lgc-55
RMFR,lgc-55
SDQL,lgc-55
SDQR,lgc-55
SIADL,lgc-55
SIADR,lgc-55
SIAVL,lgc-55
SIAVR,lgc-55
SMDDL,lgc-55
SMDDR,lgc-55
SMDVL,lgc-55
SMDVR,lgc-55
ADLL,lgc-50
ADLR,lgc-50
AS1,lgc-50
AS10,lgc-50
AS11,lgc-50
AS2,lgc-50
AS3,lgc-50
AS4,lgc-50
AS5,lgc-50
AS6,lgc-50
AS7,lgc-50
AS8,lgc-50
AS9,lgc-50
AUAL,lgc-50
AUAR,lgc-50
BAGL,lgc-50
BAGR,lgc-50
DD1,lgc-50
DD2,lgc-50
DD3,lgc-50
DD4,lgc-50
DD5,lgc-50
DD6,lgc-50
DVB,lgc-50
I4,lgc-50
M1,lgc-50
M2L,lgc-50
M2R,lgc-50
M3L,lgc-50
M3R,lgc-50
RIAL,lgc-50
RIAR,lgc-50
RIML,lgc-50
RIMR,lgc-50
RIS,lgc-50
RMDL,lgc-50
RMDR,lgc-50
SABD,lgc-50
SABVL,lgc-50
SABVR,lgc-50
SMDDL,lgc-50
SMDDR,lgc-50
SMDVL,lgc-50
SMDVR,lgc-50
URBL,lgc-50
URBR,lgc-50
VA12,lgc-50
VD1,lgc-50
VD10,lgc-50
VD11,lgc-50
VD12,lgc-50
VD13,lgc-50
VD2,lgc-50
VD3,lgc-50
VD4,lgc-50
VD5,lgc-50
VD6,lgc-50
VD7,lgc-50
VD8,lgc-50
VD9,lgc-50
RMDDL,lgc-52
RMDDR,lgc-52
RMDL,lgc-52
RMDR,lgc-52
RMDVL,lgc-52
RMDVR,lgc-52
SAADL,lgc-52
SAADR,lgc-52
SAAVL,lgc-52
SAAVR,lgc-52
SMDDL,lgc-52
SMDDR,lgc-52
SMDVL,lgc-52
SMDVR,lgc-52
AVEL,lgc-54
AVER,lgc-54
PVDL,lgc-54
PVDR,lgc-54
RMDDL,lgc-54
RMDDR,lgc-54
RMDVL,lgc-54
RMDVR,lgc-54
RMED,lgc-54
RMEV,lgc-54
RMGL,lgc-54
RMGR,lgc-54
RMHL,lgc-54
RMHR,lgc-54
URBL,lgc-54
URBR,lgc-54
VA12,lgc-54
ALA,lgc-56
ALML,lgc-56
ALMR,lgc-56
AVAL,lgc-56
AVAR,lgc-56
AVDL,lgc-56
AVDR,lgc-56
AVHL,lgc-56
AVHR,lgc-56
BDUL,lgc-56
BDUR,lgc-56
DVA,lgc-56
FLPL,lgc-56
FLPR,lgc-56
IL2L,lgc-56
IL2R,lgc-56
PVCL,lgc-56
PVCR,lgc-56
PVDL,lgc-56
PVDR,lgc-56
PVM,lgc-56
PVNL,lgc-56
PVNR,lgc-56
PVR,lgc-56
PVWL,lgc-56
PVWR,lgc-56
RMGL,lgc-56
RMGR,lgc-56
SIADL,lgc-56
SIADR,lgc-56
SIAVL,lgc-56
SIAVR,lgc-56
SIBDL,lgc-56
SIBDR,lgc-56
SIBVL,lgc-56
SIBVR,lgc-56
URYDL,lgc-56
URYDR,lgc-56
URYVL,lgc-56
URYVR,lgc-56
VA12,lgc-56
