cell_name,wbbt_id,wbbt_label,confidence,note
BWM-DL01,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL02,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL03,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL04,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL05,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL06,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL07,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL08,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL09,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL10,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL11,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL12,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL13,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL14,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL15,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL16,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL17,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL18,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
BWM-DL19,WBbt:0005816,dorsal left quadrant body wall muscle,high,"body wall muscle, grounded by quadrant"
