source,target,pair_index
ADEL,ADAL,5
ADEL,ADAR,5
ADEL,ADFL,6
ADEL,ADFL,7
ADEL,ADFR,6
ADEL,ADFR,7
ADEL,AIAL,5
ADEL,AIAR,5
ADEL,AIBL,5
ADEL,AIBR,5
ADEL,AIZL,5
ADEL,AIZR,5
ADEL,ALA,7
ADEL,ALML,5
ADEL,ALML,8
ADEL,ALMR,5
ADEL,ALMR,8
ADEL,AS1,7
ADEL,AS10,7
ADEL,AS11,7
ADEL,AS2,7
ADEL,AS3,7
ADEL,AS4,7
ADEL,AS5,7
ADEL,AS6,7
ADEL,AS7,7
ADEL,AS8,7
ADEL,AS9,7
ADEL,ASHL,6
ADEL,ASHL,7
ADEL,ASHR,6
ADEL,ASHR,7
ADEL,ASKL,6
ADEL,ASKL,7
ADEL,ASKR,6
ADEL,ASKR,7
ADEL,AVAL,5
ADEL,AVAL,6
ADEL,AVAL,7
ADEL,AVAR,5
ADEL,AVAR,6
ADEL,AVAR,7
ADEL,AVBL,5
ADEL,AVBL,7
ADEL,AVBL,8
ADEL,AVBR,5
ADEL,AVBR,7
ADEL,AVBR,8
ADEL,AVDL,7
ADEL,AVDR,7
ADEL,AVEL,5
ADEL,AVEL,7
ADEL,AVER,5
ADEL,AVER,7
ADEL,AVFL,7
ADEL,AVFR,7
ADEL,AVHL,6
ADEL,AVHR,6
ADEL,AVKL,6
ADEL,AVKL,7
ADEL,AVKL,8
ADEL,AVKR,6
ADEL,AVKR,7
ADEL,AVKR,8
ADEL,AVM,5
ADEL,BDUL,5
ADEL,BDUR,5
ADEL,CEPDL,7
ADEL,CEPDR,7
ADEL,CEPVL,7
ADEL,CEPVR,7
ADEL,DA1,5
ADEL,DA1,7
ADEL,DA2,5
ADEL,DA2,7
ADEL,DA3,5
ADEL,DA3,7
ADEL,DA4,5
ADEL,DA4,7
ADEL,DA5,5
ADEL,DA5,7
ADEL,DA6,5
ADEL,DA6,7
ADEL,DA7,5
ADEL,DA7,7
ADEL,DA8,5
ADEL,DA8,7
ADEL,DA9,5
ADEL,DA9,6
ADEL,DA9,7
ADEL,DB1,5
ADEL,DB1,6
ADEL,DB1,7
ADEL,DB2,5
ADEL,DB2,6
ADEL,DB2,7
ADEL,DB3,5
ADEL,DB3,6
ADEL,DB3,7
ADEL,DB4,5
ADEL,DB4,6
ADEL,DB4,7
ADEL,DB5,5
ADEL,DB5,6
ADEL,DB5,7
ADEL,DB6,5
ADEL,DB6,6
ADEL,DB6,7
ADEL,DB7,5
ADEL,DB7,6
ADEL,DB7,7
ADEL,DD1,7
ADEL,DD2,7
ADEL,DD3,7
ADEL,DD4,7
ADEL,DD5,7
ADEL,DD6,7
ADEL,DVB,7
ADEL,FLPL,5
ADEL,FLPR,5
ADEL,I1L,5
ADEL,I1R,5
ADEL,I2L,8
ADEL,I2R,8
ADEL,I3,8
ADEL,I5,5
ADEL,IL1DL,7
ADEL,IL1DR,7
ADEL,IL1L,7
ADEL,IL1R,7
ADEL,IL1VL,7
ADEL,IL1VR,7
ADEL,M1,8
ADEL,OLLL,8
ADEL,OLLR,8
ADEL,OLQDL,6
ADEL,OLQDR,6
ADEL,OLQVL,6
ADEL,OLQVR,6
ADEL,PDB,5
ADEL,PDB,6
ADEL,PDEL,6
ADEL,PDER,6
ADEL,PHAL,7
ADEL,PHAR,7
ADEL,PLML,5
ADEL,PLML,8
ADEL,PLMR,5
ADEL,PLMR,8
ADEL,PVDL,5
ADEL,PVDL,7
ADEL,PVDR,5
ADEL,PVDR,7
ADEL,PVM,6
ADEL,PVM,7
ADEL,PVM,8
ADEL,PVNL,5
ADEL,PVNL,7
ADEL,PVNR,5
ADEL,PVNR,7
ADEL,PVR,5
ADEL,PVWL,5
ADEL,PVWR,5
ADEL,RIAL,6
ADEL,RIAR,6
ADEL,RICL,7
ADEL,RICR,7
ADEL,RID,5
ADEL,RIGL,5
ADEL,RIGL,6
ADEL,RIGL,7
ADEL,RIGR,5
ADEL,RIGR,6
ADEL,RIGR,7
ADEL,RIML,5
ADEL,RIML,6
ADEL,RIMR,5
ADEL,RIMR,6
ADEL,RIPL,5
ADEL,RIPR,5
ADEL,RIS,5
ADEL,RIS,7
ADEL,RIVL,5
ADEL,RIVR,5
ADEL,RMFL,5
ADEL,RMFL,6
ADEL,RMFR,5
ADEL,RMFR,6
ADEL,RMHL,8
ADEL,RMHR,8
ADEL,SABD,7
ADEL,SABVL,7
ADEL,SABVR,7
ADEL,SIADL,6
ADEL,SIADL,7
ADEL,SIADR,6
ADEL,SIADR,7
ADEL,SIAVL,6
ADEL,SIAVL,7
ADEL,SIAVR,6
ADEL,SIAVR,7
ADEL,SMDDL,5
ADEL,SMDDR,5
ADEL,SMDVL,5
ADEL,SMDVR,5
ADEL,URBL,6
ADEL,URBR,6
ADEL,VA1,5
ADEL,VA1,7
ADEL,VA10,5
ADEL,VA10,7
ADEL,VA11,5
ADEL,VA11,7
ADEL,VA12,5
ADEL,VA12,6
ADEL,VA12,7
ADEL,VA2,5
ADEL,VA2,7
ADEL,VA3,5
ADEL,VA3,7
ADEL,VA4,5
ADEL,VA4,7
ADEL,VA5,5
ADEL,VA5,7
ADEL,VA6,5
ADEL,VA6,7
ADEL,VA7,5
ADEL,VA7,7
ADEL,VA8,5
ADEL,VA8,7
ADEL,VA9,5
ADEL,VA9,7
ADEL,VB1,5
ADEL,VB1,6
ADEL,VB1,7
ADEL,VB10,5
ADEL,VB10,6
ADEL,VB10,7
ADEL,VB11,5
ADEL,VB11,6
ADEL,VB11,7
ADEL,VB2,5
ADEL,VB2,6
ADEL,VB2,7
ADEL,VB3,5
ADEL,VB3,6
ADEL,VB3,7
ADEL,VB4,5
ADEL,VB4,6
ADEL,VB4,7
ADEL,VB5,5
ADEL,VB5,6
ADEL,VB5,7
ADEL,VB6,5
ADEL,VB6,6
ADEL,VB6,7
ADEL,VB7,5
ADEL,VB7,6
ADEL,VB7,7
ADEL,VB8,5
ADEL,VB8,6
ADEL,VB8,7
ADEL,VB9,5
ADEL,VB9,6
ADEL,VB9,7
ADEL,VD1,7
ADEL,VD10,7
ADEL,VD11,7
ADEL,VD12,7
ADEL,VD13,7
ADEL,VD2,7
ADEL,VD3,7
ADEL,VD4,7
ADEL,VD5,7
ADEL,VD6,7
ADEL,VD7,7
ADEL,VD8,7
ADEL,VD9,7
ADER,ADAL,5
ADER,ADAR,5
ADER,ADFL,6
ADER,ADFL,7
ADER,ADFR,6
ADER,ADFR,7
ADER,AIAL,5
ADER,AIAR,5
ADER,AIBL,5
ADER,AIBR,5
ADER,AIZL,5
ADER,AIZR,5
ADER,ALA,7
ADER,ALML,5
ADER,ALML,8
ADER,ALMR,5
ADER,ALMR,8
ADER,AS1,7
ADER,AS10,7
ADER,AS11,7
ADER,AS2,7
ADER,AS3,7
ADER,AS4,7
ADER,AS5,7
ADER,AS6,7
ADER,AS7,7
ADER,AS8,7
ADER,AS9,7
ADER,ASHL,6
ADER,ASHL,7
ADER,ASHR,6
ADER,ASHR,7
ADER,ASKL,6
ADER,ASKL,7
ADER,ASKR,6
ADER,ASKR,7
ADER,AVAL,5
ADER,AVAL,6
ADER,AVAL,7
ADER,AVAR,5
ADER,AVAR,6
ADER,AVAR,7
ADER,AVBL,5
ADER,AVBL,7
ADER,AVBL,8
ADER,AVBR,5
ADER,AVBR,7
ADER,AVBR,8
ADER,AVDL,7
ADER,AVDR,7
ADER,AVEL,5
ADER,AVEL,7
ADER,AVER,5
ADER,AVER,7
ADER,AVFL,7
ADER,AVFR,7
ADER,AVHL,6
ADER,AVHR,6
ADER,AVKL,6
ADER,AVKL,7
ADER,AVKL,8
ADER,AVKR,6
ADER,AVKR,7
ADER,AVKR,8
ADER,AVM,5
ADER,BDUL,5
ADER,BDUR,5
ADER,CEPDL,7
ADER,CEPDR,7
ADER,CEPVL,7
ADER,CEPVR,7
ADER,DA1,5
ADER,DA1,7
ADER,DA2,5
ADER,DA2,7
ADER,DA3,5
ADER,DA3,7
ADER,DA4,5
ADER,DA4,7
ADER,DA5,5
ADER,DA5,7
ADER,DA6,5
ADER,DA6,7
ADER,DA7,5
ADER,DA7,7
ADER,DA8,5
ADER,DA8,7
ADER,DA9,5
ADER,DA9,6
ADER,DA9,7
ADER,DB1,5
ADER,DB1,6
