cell,gene_symbol
ADAL,dop-1
ADAR,dop-1
ADFL,dop-2
ADFL,dop-3
ADFL,ser-1
ADFL,ser-2
ADFL,ser-5
ADFR,dop-2
ADFR,dop-3
ADFR,ser-1
ADFR,ser-2
ADFR,ser-5
ADLL,ser-1
ADLR,ser-1
AIAL,dop-1
AIAL,tyra-2
AIAL,tyra-3
AIAR,dop-1
AIAR,tyra-2
AIAR,tyra-3
AIBL,dop-1
AIBL,ser-1
AIBL,ser-4
AIBL,tyra-2
AIBR,dop-1
AIBR,ser-1
AIBR,ser-4
AIBR,tyra-2
AIML,ser-5
AIML,tyra-2
AIML,tyra-3
AIMR,ser-5
AIMR,tyra-2
AIMR,tyra-3
AINL,ser-3
AINL,ser-4
AINL,tyra-3
AINR,ser-3
AINR,ser-4
AINR,tyra-3
AIYL,ser-2
AIYL,ser-4
AIYL,tyra-2
AIYL,tyra-3
AIYR,ser-2
AIYR,ser-4
AIYR,tyra-2
AIYR,tyra-3
AIZL,dop-1
AIZL,ser-1
AIZL,ser-2
AIZL,ser-3
AIZL,ser-4
AIZL,ser-5
AIZL,tyra-2
AIZL,tyra-3
AIZR,dop-1
AIZR,ser-1
AIZR,ser-2
AIZR,ser-3
AIZR,ser-4
AIZR,ser-5
AIZR,tyra-2
AIZR,tyra-3
ALA,dop-3
ALA,ser-3
ALML,dop-1
ALML,dop-4
ALML,octr-1
ALML,ser-6
ALML,tyra-3
ALMR,dop-1
ALMR,dop-4
ALMR,octr-1
ALMR,ser-6
ALMR,tyra-3
ALNL,ser-6
ALNL,tyra-3
ALNR,ser-6
ALNR,tyra-3
AQR,tyra-2
AS1,dop-3
AS1,tyra-3
AS10,dop-3
AS10,tyra-3
AS11,dop-3
AS11,tyra-3
AS2,dop-3
AS2,tyra-3
AS3,dop-3
AS3,tyra-3
AS4,dop-3
AS4,tyra-3
AS5,dop-3
AS5,tyra-3
AS6,dop-3
AS6,tyra-3
AS7,dop-3
AS7,tyra-3
AS8,dop-3
AS8,tyra-3
AS9,dop-3
AS9,tyra-3
ASEL,ser-3
ASEL,tyra-2
ASEL,tyra-3
ASER,tyra-2
ASER,tyra-3
ASGL,octr-1
ASGL,ser-1
ASGL,ser-4
ASGL,tyra-2
ASGL,tyra-3
ASGR,octr-1
ASGR,ser-1
ASGR,ser-4
ASGR,tyra-2
ASGR,tyra-3
ASHL,dop-2
ASHL,dop-3
ASHL,ser-3
ASHL,ser-4
ASHR,dop-2
ASHR,dop-3
ASHR,ser-3
ASHR,ser-4
ASJL,ser-3
ASJR,ser-3
ASKL,dop-2
ASKL,dop-3
ASKL,ser-3
ASKL,tyra-2
ASKL,tyra-3
ASKR,dop-2
ASKR,dop-3
ASKR,ser-3
ASKR,tyra-2
ASKR,tyra-3
AUAL,ser-7
AUAR,ser-7
AVAL,dop-1
AVAL,dop-2
AVAL,dop-3
AVAL,ser-3
AVAR,dop-1
AVAR,dop-2
AVAR,dop-3
AVAR,ser-3
AVBL,dop-1
AVBL,dop-3
AVBL,dop-4
AVBL,ser-2
AVBL,ser-4
AVBR,dop-1
AVBR,dop-3
AVBR,dop-4
AVBR,ser-2
AVBR,ser-4
AVDL,dop-3
AVDL,octr-1
AVDL,ser-4
AVDL,tyra-3
AVDR,dop-3
AVDR,octr-1
AVDR,ser-4
AVDR,tyra-3
AVEL,dop-1
AVEL,dop-3
AVEL,ser-5
AVER,dop-1
AVER,dop-3
AVER,ser-5
AVFL,dop-3
AVFR,dop-3
AVG,octr-1
AVG,ser-1
AVHL,dop-2
AVHL,ser-3
AVHL,ser-4
AVHR,dop-2
AVHR,ser-3
AVHR,ser-4
AVJL,ser-4
AVJL,tyra-2
AVJR,ser-4
AVJR,tyra-2
AVKL,dop-2
AVKL,dop-3
AVKL,dop-4
AVKL,ser-3
AVKR,dop-2
AVKR,dop-3
AVKR,dop-4
AVKR,ser-3
AVL,ser-2
AVL,ser-4
AVL,ser-7
AVM,dop-1
AVM,octr-1
AVM,tyra-3
AWCL,ser-3
AWCL,tyra-2
AWCR,ser-3
AWCR,tyra-2
BAGL,ser-3
BAGL,ser-4
BAGL,tyra-2
BAGL,tyra-3
BAGR,ser-3
BAGR,ser-4
BAGR,tyra-2
BAGR,tyra-3
BDUL,dop-1
BDUL,ser-2
BDUL,ser-4
BDUR,dop-1
BDUR,ser-2
BDUR,ser-4
CANL,ser-2
CANR,ser-2
CEPDL,dop-3
CEPDL,tyra-3
CEPDR,dop-3
CEPDR,tyra-3
CEPVL,dop-3
CEPVL,tyra-3
CEPVR,dop-3
CEPVR,tyra-3
DA1,dop-1
DA1,dop-3
DA1,octr-1
DA1,tyra-3
DA2,dop-1
DA2,dop-3
DA2,octr-1
DA2,tyra-3
DA3,dop-1
DA3,dop-3
DA3,octr-1
DA3,tyra-3
DA4,dop-1
DA4,dop-3
DA4,octr-1
DA4,tyra-3
DA5,dop-1
DA5,dop-3
DA5,octr-1
DA5,tyra-3
DA6,dop-1
DA6,dop-3
DA6,octr-1
DA6,tyra-3
DA7,dop-1
DA7,dop-3
DA7,octr-1
DA7,tyra-3
DA8,dop-1
DA8,dop-3
DA8,octr-1
DA8,tyra-3
DA9,dop-1
DA9,dop-2
DA9,dop-3
DA9,ser-6
DB1,dop-1
DB1,dop-2
DB1,dop-3
DB2,dop-1
DB2,dop-2
DB2,dop-3
DB2,octr-1
DB3,dop-1
DB3,dop-2
DB3,dop-3
DB3,octr-1
DB4,dop-1
DB4,dop-2
DB4,dop-3
DB4,octr-1
DB5,dop-1
DB5,dop-2
DB5,dop-3
DB5,octr-1
DB6,dop-1
DB6,dop-2
DB6,dop-3
DB6,octr-1
DB7,dop-1
DB7,dop-2
DB7,dop-3
DB7,octr-1
DD1,dop-3
DD2,dop-3
DD3,dop-3
DD4,dop-3
DD5,dop-3
DD6,dop-3
DVA,ser-2
DVA,ser-3
DVA,ser-4
DVA,tyra-2
DVB,dop-3
DVB,ser-7
DVC,tyra-2
FLPL,dop-1
FLPL,octr-1
FLPL,ser-1
FLPL,tyra-3
FLPR,dop-1
FLPR,octr-1
FLPR,ser-1
FLPR,tyra-3
HSNL,octr-1
HSNL,ser-4
HSNL,ser-5
HSNR,octr-1
HSNR,ser-4
HSNR,ser-5
I1L,dop-1
I1L,ser-1
I1L,tyra-3
I1R,dop-1
I1R,ser-1
I1R,tyra-3
I2L,dop-4
I2L,ser-1
I2L,ser-7
I2R,dop-4
I2R,ser-1
I2R,ser-7
I3,dop-4
I3,octr-1
I3,ser-5
I3,ser-6
I3,ser-7
I4,ser-7
I4,tyra-3
I5,dop-1
I5,ser-7
I6,ser-7
IL1DL,dop-3
IL1DL,ser-7
IL1DL,tyra-3
IL1DR,dop-3
IL1DR,ser-7
IL1DR,tyra-3
IL1L,dop-3
IL1L,ser-7
IL1L,tyra-3
IL1R,dop-3
IL1R,ser-7
IL1R,tyra-3
IL1VL,dop-3
