source,target,weight
ADEL,ADAL,1
ADEL,ADAR,1
ADEL,ADFL,2
ADEL,ADFR,2
ADEL,AIAL,1
ADEL,AIAR,1
ADEL,AIBL,1
ADEL,AIBR,1
ADEL,AIZL,1
ADEL,AIZR,1
ADEL,ALA,1
ADEL,ALML,2
ADEL,ALMR,2
ADEL,AS1,1
ADEL,AS10,1
ADEL,AS11,1
ADEL,AS2,1
ADEL,AS3,1
ADEL,AS4,1
ADEL,AS5,1
ADEL,AS6,1
ADEL,AS7,1
ADEL,AS8,1
ADEL,AS9,1
ADEL,ASHL,2
ADEL,ASHR,2
ADEL,ASKL,2
ADEL,ASKR,2
ADEL,AVAL,3
ADEL,AVAR,3
ADEL,AVBL,3
ADEL,AVBR,3
ADEL,AVDL,1
ADEL,AVDR,1
ADEL,AVEL,2
ADEL,AVER,2
ADEL,AVFL,1
ADEL,AVFR,1
ADEL,AVHL,1
ADEL,AVHR,1
ADEL,AVKL,3
ADEL,AVKR,3
ADEL,AVM,1
ADEL,BDUL,1
ADEL,BDUR,1
ADEL,CEPDL,1
ADEL,CEPDR,1
ADEL,CEPVL,1
ADEL,CEPVR,1
ADEL,DA1,2
ADEL,DA2,2
ADEL,DA3,2
ADEL,DA4,2
ADEL,DA5,2
ADEL,DA6,2
ADEL,DA7,2
ADEL,DA8,2
ADEL,DA9,3
ADEL,DB1,3
ADEL,DB2,3
ADEL,DB3,3
ADEL,DB4,3
ADEL,DB5,3
ADEL,DB6,3
ADEL,DB7,3
ADEL,DD1,1
ADEL,DD2,1
ADEL,DD3,1
ADEL,DD4,1
ADEL,DD5,1
ADEL,DD6,1
ADEL,DVB,1
ADEL,FLPL,1
ADEL,FLPR,1
ADEL,I1L,1
ADEL,I1R,1
ADEL,I2L,1
ADEL,I2R,1
ADEL,I3,1
ADEL,I5,1
ADEL,IL1DL,1
ADEL,IL1DR,1
ADEL,IL1L,1
ADEL,IL1R,1
ADEL,IL1VL,1
ADEL,IL1VR,1
ADEL,M1,1
ADEL,OLLL,1
ADEL,OLLR,1
ADEL,OLQDL,1
ADEL,OLQDR,1
ADEL,OLQVL,1
ADEL,OLQVR,1
ADEL,PDB,2
ADEL,PDEL,1
ADEL,PDER,1
ADEL,PHAL,1
ADEL,PHAR,1
ADEL,PLML,2
ADEL,PLMR,2
ADEL,PVDL,2
ADEL,PVDR,2
ADEL,PVM,3
ADEL,PVNL,2
ADEL,PVNR,2
ADEL,PVR,1
ADEL,PVWL,1
ADEL,PVWR,1
ADEL,RIAL,1
ADEL,RIAR,1
ADEL,RICL,1
ADEL,RICR,1
ADEL,RID,1
ADEL,RIGL,3
ADEL,RIGR,3
ADEL,RIML,2
ADEL,RIMR,2
ADEL,RIPL,1
ADEL,RIPR,1
ADEL,RIS,2
ADEL,RIVL,1
ADEL,RIVR,1
ADEL,RMFL,2
ADEL,RMFR,2
ADEL,RMHL,1
ADEL,RMHR,1
ADEL,SABD,1
ADEL,SABVL,1
ADEL,SABVR,1
ADEL,SIADL,2
ADEL,SIADR,2
ADEL,SIAVL,2
ADEL,SIAVR,2
ADEL,SMDDL,1
ADEL,SMDDR,1
ADEL,SMDVL,1
ADEL,SMDVR,1
ADEL,URBL,1
ADEL,URBR,1
ADEL,VA1,2
ADEL,VA10,2
ADEL,VA11,2
ADEL,VA12,3
ADEL,VA2,2
ADEL,VA3,2
ADEL,VA4,2
ADEL,VA5,2
ADEL,VA6,2
ADEL,VA7,2
ADEL,VA8,2
ADEL,VA9,2
ADEL,VB1,3
ADEL,VB10,3
ADEL,VB11,3
ADEL,VB2,3
ADEL,VB3,3
ADEL,VB4,3
ADEL,VB5,3
ADEL,VB6,3
ADEL,VB7,3
ADEL,VB8,3
ADEL,VB9,3
ADEL,VD1,1
ADEL,VD10,1
ADEL,VD11,1
ADEL,VD12,1
ADEL,VD13,1
ADEL,VD2,1
ADEL,VD3,1
ADEL,VD4,1
ADEL,VD5,1
ADEL,VD6,1
ADEL,VD7,1
ADEL,VD8,1
ADEL,VD9,1
ADER,ADAL,1
ADER,ADAR,1
ADER,ADFL,2
