source,target,pair_index
ADAL,ADFL,8
ADAL,ADFL,10
ADAL,ADFL,38
ADAL,ADFL,86
ADAL,ADFR,8
ADAL,ADFR,10
ADAL,ADFR,38
ADAL,ADFR,86
ADAL,AFDL,71
ADAL,AFDR,71
ADAL,AIAL,15
ADAL,AIAL,86
ADAL,AIAR,15
ADAL,AIAR,86
ADAL,AIBL,8
ADAL,AIBL,10
ADAL,AIBL,86
ADAL,AIBR,8
ADAL,AIBR,10
ADAL,AIBR,86
ADAL,AIML,8
ADAL,AIML,10
ADAL,AIML,15
ADAL,AIML,33
ADAL,AIML,86
ADAL,AIMR,8
ADAL,AIMR,10
ADAL,AIMR,15
ADAL,AIMR,33
ADAL,AIMR,86
ADAL,AIYL,8
ADAL,AIYL,10
ADAL,AIYL,86
ADAL,AIYR,8
ADAL,AIYR,10
ADAL,AIYR,86
ADAL,AIZL,8
ADAL,AIZL,10
ADAL,AIZL,38
ADAL,AIZL,86
ADAL,AIZR,8
ADAL,AIZR,10
ADAL,AIZR,38
ADAL,AIZR,86
ADAL,ALA,15
ADAL,ALA,22
ADAL,ALA,26
ADAL,ALA,27
ADAL,ALA,86
ADAL,ALML,15
ADAL,ALML,22
ADAL,ALML,26
ADAL,ALML,27
ADAL,ALML,86
ADAL,ALMR,15
ADAL,ALMR,22
ADAL,ALMR,26
ADAL,ALMR,27
ADAL,ALMR,86
ADAL,ALNL,79
ADAL,ALNL,86
ADAL,ALNR,79
ADAL,ALNR,86
ADAL,AQR,49
ADAL,AQR,51
ADAL,AQR,86
ADAL,AS1,22
ADAL,AS1,26
ADAL,AS1,27
ADAL,AS10,22
ADAL,AS10,26
ADAL,AS10,27
ADAL,AS11,22
ADAL,AS11,26
ADAL,AS11,27
ADAL,AS2,22
ADAL,AS2,26
ADAL,AS2,27
ADAL,AS3,22
ADAL,AS3,26
ADAL,AS3,27
ADAL,AS4,22
ADAL,AS4,26
ADAL,AS4,27
ADAL,AS5,22
ADAL,AS5,26
ADAL,AS5,27
ADAL,AS6,22
ADAL,AS6,26
ADAL,AS6,27
ADAL,AS7,22
ADAL,AS7,26
ADAL,AS7,27
ADAL,AS8,22
ADAL,AS8,26
ADAL,AS8,27
ADAL,AS9,22
ADAL,AS9,26
ADAL,AS9,27
ADAL,ASEL,71
ADAL,ASEL,86
ADAL,ASER,71
ADAL,ASER,86
ADAL,ASGL,8
ADAL,ASGL,10
ADAL,ASGL,15
ADAL,ASGL,71
ADAL,ASGL,86
ADAL,ASGR,8
ADAL,ASGR,10
ADAL,ASGR,15
ADAL,ASGR,71
ADAL,ASGR,86
ADAL,ASHL,86
ADAL,ASHR,86
ADAL,ASIL,86
ADAL,ASIR,86
ADAL,ASKL,8
ADAL,ASKL,10
ADAL,ASKL,86
ADAL,ASKR,8
ADAL,ASKR,10
ADAL,ASKR,86
ADAL,AUAL,86
ADAL,AUAR,86
ADAL,AVAL,22
ADAL,AVAL,26
ADAL,AVAL,27
ADAL,AVAL,86
ADAL,AVAR,22
ADAL,AVAR,26
ADAL,AVAR,27
ADAL,AVAR,86
ADAL,AVBL,22
ADAL,AVBL,26
ADAL,AVBL,27
ADAL,AVBR,22
ADAL,AVBR,26
ADAL,AVBR,27
ADAL,AVDL,8
ADAL,AVDL,10
ADAL,AVDL,22
ADAL,AVDL,26
ADAL,AVDL,27
ADAL,AVDL,49
ADAL,AVDL,51
ADAL,AVDR,8
ADAL,AVDR,10
ADAL,AVDR,22
ADAL,AVDR,26
ADAL,AVDR,27
ADAL,AVDR,49
ADAL,AVDR,51
ADAL,AVEL,8
ADAL,AVEL,10
ADAL,AVEL,86
ADAL,AVER,8
ADAL,AVER,10
ADAL,AVER,86
ADAL,AVFL,8
ADAL,AVFL,10
ADAL,AVFL,22
ADAL,AVFL,26
ADAL,AVFL,27
ADAL,AVFL,86
ADAL,AVFR,8
ADAL,AVFR,10
ADAL,AVFR,22
ADAL,AVFR,26
ADAL,AVFR,27
ADAL,AVFR,86
ADAL,AVG,86
ADAL,AVKL,22
ADAL,AVKL,26
ADAL,AVKL,27
ADAL,AVKR,22
ADAL,AVKR,26
ADAL,AVKR,27
ADAL,AVM,22
ADAL,AVM,26
ADAL,AVM,27
ADAL,AVM,86
ADAL,AWAL,33
ADAL,AWAL,38
ADAL,AWAR,33
ADAL,AWAR,38
ADAL,AWBL,38
ADAL,AWBL,86
ADAL,AWBR,38
ADAL,AWBR,86
ADAL,AWCL,71
ADAL,AWCL,86
ADAL,AWCR,71
ADAL,AWCR,86
ADAL,BAGL,38
ADAL,BAGL,71
ADAL,BAGR,38
ADAL,BAGR,71
ADAL,BDUL,8
ADAL,BDUL,10
ADAL,BDUL,86
ADAL,BDUR,8
ADAL,BDUR,10
ADAL,BDUR,86
ADAL,CANL,8
ADAL,CANL,10
ADAL,CANL,38
ADAL,CANR,8
ADAL,CANR,10
ADAL,CANR,38
ADAL,DA1,8
ADAL,DA1,10
ADAL,DA1,22
ADAL,DA1,26
ADAL,DA1,27
ADAL,DA1,86
ADAL,DA2,8
ADAL,DA2,10
ADAL,DA2,22
ADAL,DA2,26
ADAL,DA2,27
ADAL,DA2,86
ADAL,DA3,8
ADAL,DA3,10
ADAL,DA3,22
ADAL,DA3,26
ADAL,DA3,27
ADAL,DA3,86
ADAL,DA4,8
ADAL,DA4,10
ADAL,DA4,22
ADAL,DA4,26
ADAL,DA4,27
ADAL,DA4,86
ADAL,DA5,8
ADAL,DA5,10
ADAL,DA5,22
ADAL,DA5,26
ADAL,DA5,27
ADAL,DA5,86
ADAL,DA6,8
ADAL,DA6,10
ADAL,DA6,22
ADAL,DA6,26
ADAL,DA6,27
ADAL,DA6,86
ADAL,DA7,8
ADAL,DA7,10
ADAL,DA7,22
ADAL,DA7,26
ADAL,DA7,27
ADAL,DA7,86
ADAL,DA8,8
ADAL,DA8,10
ADAL,DA8,22
ADAL,DA8,26
ADAL,DA8,27
ADAL,DA8,86
ADAL,DA9,8
ADAL,DA9,10
ADAL,DA9,22
ADAL,DA9,26
ADAL,DA9,27
ADAL,DB1,8
ADAL,DB1,10
ADAL,DB1,15
ADAL,DB1,22
ADAL,DB1,26
ADAL,DB1,27
ADAL,DB1,86
ADAL,DB2,8
ADAL,DB2,10
ADAL,DB2,15
ADAL,DB2,22
ADAL,DB2,26
ADAL,DB2,27
ADAL,DB2,86
ADAL,DB3,8
ADAL,DB3,10
ADAL,DB3,15
ADAL,DB3,22
ADAL,DB3,26
ADAL,DB3,27
ADAL,DB3,86
ADAL,DB4,8
ADAL,DB4,10
ADAL,DB4,15
ADAL,DB4,22
ADAL,DB4,26
ADAL,DB4,27
ADAL,DB4,86
ADAL,DB5,8
ADAL,DB5,10
ADAL,DB5,15
ADAL,DB5,22
ADAL,DB5,26
ADAL,DB5,27
ADAL,DB5,86
ADAL,DB6,8
ADAL,DB6,10
ADAL,DB6,15
ADAL,DB6,22
ADAL,DB6,26
ADAL,DB6,27
ADAL,DB6,86
ADAL,DB7,8
ADAL,DB7,10
ADAL,DB7,15
ADAL,DB7,22
ADAL,DB7,26
ADAL,DB7,27
ADAL,DB7,86
ADAL,DVA,15
ADAL,DVA,22
ADAL,DVA,26
ADAL,DVA,27
ADAL,DVA,33
ADAL,DVA,38
ADAL,DVA,86
ADAL,DVC,79
ADAL,FLPL,71
ADAL,FLPR,71
ADAL,HSNL,22
ADAL,HSNL,26
ADAL,HSNL,27
ADAL,HSNL,33
ADAL,HSNL,86
ADAL,HSNR,22
ADAL,HSNR,26
ADAL,HSNR,27
ADAL,HSNR,33
ADAL,HSNR,86
ADAL,I1L,8
ADAL,I1L,10
ADAL,I1L,15
ADAL,I1L,49
ADAL,I1L,51
ADAL,I1L,86
ADAL,I1R,8
ADAL,I1R,10
ADAL,I1R,15
ADAL,I1R,49
ADAL,I1R,51
ADAL,I1R,86
ADAL,I3,8
ADAL,I3,10
ADAL,I4,8
ADAL,I4,10
ADAL,I5,8
ADAL,I5,10
ADAL,IL2DL,15
ADAL,IL2DR,15
ADAL,IL2L,38
ADAL,IL2L,86
ADAL,IL2R,38
ADAL,IL2R,86
ADAL,IL2VL,15
ADAL,IL2VR,15
ADAL,LUAL,79
ADAL,LUAL,86
ADAL,LUAR,79
ADAL,LUAR,86
ADAL,M1,8
ADAL,M1,10
ADAL,M3L,38
ADAL,M3R,38
ADAL,M5,8
ADAL,M5,10
ADAL,NSML,86
ADAL,NSMR,86
ADAL,OLLL,15
ADAL,OLLR,15
ADAL,PDA,8
ADAL,PDA,10
ADAL,PDA,38
ADAL,PDA,86
ADAL,PDB,8
ADAL,PDB,10
ADAL,PDB,22
ADAL,PDB,26
ADAL,PDB,27
ADAL,PHAL,86
ADAL,PHAR,86
ADAL,PHBL,86
ADAL,PHBR,86
