cell,gene_symbol
ADAL,aex-2
ADAL,ckr-2
ADAL,flp-16
ADAL,flp-2
ADAL,flp-25
ADAL,flp-5
ADAL,flp-7
ADAL,frpr-3
ADAL,frpr-7
ADAL,nlp-13
ADAL,nlp-37
ADAL,npr-11
ADAL,npr-3
ADAL,npr-4
ADAL,npr-42
ADAL,npr-43
ADAL,snet-1
ADAL,sprr-1
ADAR,aex-2
ADAR,ckr-2
ADAR,flp-16
ADAR,flp-2
ADAR,flp-25
ADAR,flp-5
ADAR,flp-7
ADAR,frpr-3
ADAR,frpr-7
ADAR,nlp-13
ADAR,nlp-37
ADAR,npr-11
ADAR,npr-3
ADAR,npr-4
ADAR,npr-42
ADAR,npr-43
ADAR,snet-1
ADAR,sprr-1
ADEL,dmsr-6
ADEL,flp-2
ADEL,flp-33
ADEL,flp-5
ADEL,flp-9
ADEL,frpr-7
ADEL,ntr-1
ADER,dmsr-6
ADER,flp-2
ADER,flp-33
ADER,flp-5
ADER,flp-9
ADER,frpr-7
ADER,ntr-1
ADFL,aex-2
ADFL,dmsr-1
ADFL,flp-19
ADFL,flp-21
ADFL,flp-34
ADFL,frpr-18
ADFL,frpr-7
ADFL,gnrr-3
ADFL,nlp-3
ADFL,nlp-47
ADFL,nlp-72
ADFL,npr-32
ADFL,npr-8
ADFL,ntr-1
ADFL,pdfr-1
ADFR,aex-2
ADFR,dmsr-1
ADFR,flp-19
ADFR,flp-21
ADFR,flp-34
ADFR,frpr-18
ADFR,frpr-7
ADFR,gnrr-3
ADFR,nlp-3
ADFR,nlp-47
ADFR,nlp-72
ADFR,npr-32
ADFR,npr-8
ADFR,ntr-1
ADFR,pdfr-1
ADLL,flp-16
ADLL,flp-25
ADLL,flp-4
ADLL,flp-5
ADLL,frpr-15
ADLL,frpr-19
ADLL,nlp-10
ADLL,nlp-47
ADLL,nmur-1
ADLL,nmur-2
ADLL,npr-11
ADLL,npr-32
ADLL,npr-40
ADLL,npr-8
ADLL,ntr-1
ADLL,snet-1
ADLL,sprr-1
ADLL,sprr-2
ADLL,tkr-1
ADLL,tkr-2
ADLR,flp-16
ADLR,flp-25
ADLR,flp-4
ADLR,flp-5
ADLR,frpr-15
ADLR,frpr-19
ADLR,nlp-10
ADLR,nlp-47
ADLR,nmur-1
ADLR,nmur-2
ADLR,npr-11
ADLR,npr-32
ADLR,npr-40
ADLR,npr-8
ADLR,ntr-1
ADLR,snet-1
ADLR,sprr-1
ADLR,sprr-2
ADLR,tkr-1
ADLR,tkr-2
AFDL,flp-27
AFDL,flp-6
AFDL,frpr-15
AFDL,frpr-9
AFDL,nlp-3
AFDL,npr-34
AFDL,npr-39
AFDL,ntc-1
AFDL,sprr-1
AFDR,flp-27
AFDR,flp-6
AFDR,frpr-15
AFDR,frpr-9
AFDR,nlp-3
AFDR,npr-34
