symbol,wbgene,systematic_name,category,wbgene_source
flp-1,WB:WBGene00001444,F23B2.5,neuropeptide,circe-existing
flp-10,WB:WBGene00001453,,neuropeptide,expression-alignment
flp-11,WB:WBGene00001454,,neuropeptide,expression-alignment
flp-12,WB:WBGene00001455,,neuropeptide,expression-alignment
flp-13,WB:WBGene00001456,F33D4.3,neuropeptide,circe-existing
flp-14,WB:WBGene00001457,,neuropeptide,expression-alignment
flp-15,WB:WBGene00001458,ZK525.1,neuropeptide,circe-existing
flp-16,WB:WBGene00001459,,neuropeptide,expression-alignment
flp-17,WB:WBGene00001460,C52D10.11,neuropeptide,circe-existing
flp-18,WB:WBGene00001461,Y48D7A.2,neuropeptide,circe-existing
flp-19,WB:WBGene00001462,,neuropeptide,expression-alignment
flp-2,WB:WBGene00001445,W07E11.3,neuropeptide,circe-existing
flp-20,WB:WBGene00001463,,neuropeptide,expression-alignment
flp-21,WB:WBGene00001464,C26F1.10,neuropeptide,circe-existing
flp-23,WB:WBGene00017693,,neuropeptide,expression-alignment
flp-25,WB:WBGene00010575,,neuropeptide,expression-alignment
flp-27,WB:WBGene00016114,,neuropeptide,expression-alignment
flp-28,WB:WBGene00044686,,neuropeptide,expression-alignment
flp-3,WB:WBGene00001446,,neuropeptide,expression-alignment
flp-32,WB:WBGene00010982,,neuropeptide,expression-alignment
flp-33,WB:WBGene00011586,,neuropeptide,expression-alignment
flp-34,WB:WBGene00019975,,neuropeptide,expression-alignment
flp-4,WB:WBGene00001447,C18D1.3,neuropeptide,circe-existing
flp-5,WB:WBGene00001448,C03G5.7,neuropeptide,circe-existing
flp-6,WB:WBGene00001449,F07D3.2,neuropeptide,circe-existing
flp-7,WB:WBGene00001450,,neuropeptide,expression-alignment
flp-8,WB:WBGene00001451,,neuropeptide,expression-alignment
flp-9,WB:WBGene00001452,,neuropeptide,expression-alignment
nlp-10,WB:WBGene00003748,,neuropeptide,expression-alignment
nlp-12,WB:WBGene00003750,,neuropeptide,expression-alignment
nlp-13,WB:WBGene00003751,E03D2.1,neuropeptide,circe-existing
nlp-17,WB:WBGene00003755,,neuropeptide,expression-alignment
nlp-2,WB:WBGene00003740,T24D8.5,neuropeptide,Alliance
nlp-22,WB:WBGene00003760,,neuropeptide,expression-alignment
nlp-23,WB:WBGene00003761,,neuropeptide,Alliance
nlp-3,WB:WBGene00003741,F48C11.3,neuropeptide,circe-existing
nlp-37,WB:WBGene00018590,,neuropeptide,expression-alignment
nlp-38,WB:WBGene00007219,,neuropeptide,expression-alignment
nlp-40,WB:WBGene00022276,,neuropeptide,expression-alignment
nlp-42,WB:WBGene00013588,,neuropeptide,expression-alignment
nlp-44,WB:WBGene00021268,,neuropeptide,expression-alignment
nlp-47,WB:WBGene00018117,,neuropeptide,expression-alignment
nlp-49,WB:WBGene00019160,,neuropeptide,expression-alignment
nlp-54,WB:WBGene00007827,,neuropeptide,expression-alignment
nlp-58,WB:WBGene00077775,,neuropeptide,expression-alignment
nlp-64,WB:WBGene00019734,,neuropeptide,expression-alignment
nlp-72,WB:WBGene00013548,,neuropeptide,expression-alignment
ntc-1,WB:WBGene00044568,,neuropeptide,expression-alignment
snet-1,WB:WBGene00015354,,neuropeptide,expression-alignment
aex-2,WB:WBGene00000085,,neuropeptide_receptor,expression-alignment
ckr-1,WB:WBGene00020712,,neuropeptide_receptor,expression-alignment
ckr-2,WB:WBGene00021439,,neuropeptide_receptor,expression-alignment
dmsr-1,WB:WBGene00010191,,neuropeptide_receptor,expression-alignment
dmsr-2,WB:WBGene00021275,,neuropeptide_receptor,expression-alignment
dmsr-3,WB:WBGene00012993,,neuropeptide_receptor,expression-alignment
dmsr-5,WB:WBGene00012962,Y48A6B.1,neuropeptide_receptor,Alliance
dmsr-6,WB:WBGene00013222,,neuropeptide_receptor,expression-alignment
dmsr-7,WB:WBGene00016428,,neuropeptide_receptor,expression-alignment
dmsr-8,WB:WBGene00007951,,neuropeptide_receptor,expression-alignment
egl-6,WB:WBGene00001175,,neuropeptide_receptor,expression-alignment
frpr-15,WB:WBGene00010735,,neuropeptide_receptor,expression-alignment
frpr-16,WB:WBGene00020023,,neuropeptide_receptor,expression-alignment
frpr-18,WB:WBGene00020586,,neuropeptide_receptor,expression-alignment
frpr-19,WB:WBGene00021510,,neuropeptide_receptor,expression-alignment
frpr-3,WB:WBGene00016149,,neuropeptide_receptor,expression-alignment
frpr-6,WB:WBGene00017661,,neuropeptide_receptor,expression-alignment
frpr-7,WB:WBGene00018191,,neuropeptide_receptor,expression-alignment
frpr-8,WB:WBGene00018728,,neuropeptide_receptor,expression-alignment
frpr-9,WB:WBGene00009965,,neuropeptide_receptor,expression-alignment
gnrr-1,WB:WBGene00018798,,neuropeptide_receptor,expression-alignment
gnrr-3,WB:WBGene00013871,,neuropeptide_receptor,expression-alignment
gnrr-6,WB:WBGene00008736,,neuropeptide_receptor,expression-alignment
nmur-1,WB:WBGene00016747,,neuropeptide_receptor,expression-alignment
nmur-2,WB:WBGene00019616,,neuropeptide_receptor,expression-alignment
npr-1,WB:WBGene00003807,,neuropeptide_receptor,expression-alignment
npr-10,WB:WBGene00008278,,neuropeptide_receptor,expression-alignment
npr-11,WB:WBGene00016110,,neuropeptide_receptor,expression-alignment
npr-2,WB:WBGene00003808,,neuropeptide_receptor,expression-alignment
npr-22,WB:WBGene00022004,,neuropeptide_receptor,expression-alignment
npr-3,WB:WBGene00007006,,neuropeptide_receptor,expression-alignment
npr-32,WB:WBGene00013782,,neuropeptide_receptor,expression-alignment
npr-34,WB:WBGene00013187,Y54E2A.1,neuropeptide_receptor,NCBI
npr-35,WB:WBGene00016842,,neuropeptide_receptor,expression-alignment
npr-37,WB:WBGene00019774,,neuropeptide_receptor,expression-alignment
npr-39,WB:WBGene00010179,,neuropeptide_receptor,expression-alignment
npr-4,WB:WBGene00007635,,neuropeptide_receptor,expression-alignment
npr-40,WB:WBGene00013496,,neuropeptide_receptor,expression-alignment
npr-41,WB:WBGene00007146,,neuropeptide_receptor,expression-alignment
npr-42,WB:WBGene00015299,,neuropeptide_receptor,expression-alignment
npr-43,WB:WBGene00010143,,neuropeptide_receptor,expression-alignment
npr-5,WB:WBGene00021983,,neuropeptide_receptor,expression-alignment
npr-8,WB:WBGene00016984,,neuropeptide_receptor,expression-alignment
ntr-1,WB:WBGene00011582,,neuropeptide_receptor,expression-alignment
pdfr-1,WB:WBGene00015735,,neuropeptide_receptor,expression-alignment
seb-3,WB:WBGene00007664,,neuropeptide_receptor,expression-alignment
sprr-1,WB:WBGene00010986,,neuropeptide_receptor,expression-alignment
sprr-2,WB:WBGene00009629,,neuropeptide_receptor,expression-alignment
tkr-1,WB:WBGene00006576,,neuropeptide_receptor,expression-alignment
tkr-2,WB:WBGene00016761,,neuropeptide_receptor,expression-alignment
trhr-1,WB:WBGene00016265,,neuropeptide_receptor,expression-alignment
