pair_index,ligand,gpcr,ec50_nm,npp_family,gpcr_class
1,nlp-40,aex-2,8.322,NLP,A (rhodopsin like)
2,nlp-12,ckr-1,1.905,NLP,A (rhodopsin like)
3,nlp-12,ckr-2,10.17,NLP,A (rhodopsin like)
4,flp-10,dmsr-1,402.5,FLP,A (rhodopsin like)
5,flp-11,dmsr-1,0.0032,FLP,A (rhodopsin like)
6,flp-12,dmsr-1,160.6,FLP,A (rhodopsin like)
7,flp-13,dmsr-1,0.0,FLP,A (rhodopsin like)
8,flp-16,dmsr-1,165.1,FLP,A (rhodopsin like)
9,flp-17,dmsr-1,88.04,FLP,A (rhodopsin like)
10,flp-25,dmsr-1,0.0004,FLP,A (rhodopsin like)
11,flp-28,dmsr-1,495.7,FLP,A (rhodopsin like)
12,flp-33,dmsr-1,464.7,FLP,A (rhodopsin like)
13,flp-4,dmsr-1,178.5,FLP,A (rhodopsin like)
14,flp-9,dmsr-1,123.1,FLP,A (rhodopsin like)
15,nlp-13,dmsr-2,2.472,NLP,A (rhodopsin like)
16,flp-14,dmsr-3,32.58,FLP,A (rhodopsin like)
17,flp-1,dmsr-5,5.259,FLP,A (rhodopsin like)
18,flp-1,dmsr-6,14.25,FLP,A (rhodopsin like)
19,flp-1,dmsr-7,0.0142,FLP,A (rhodopsin like)
20,flp-11,dmsr-7,341.5,FLP,A (rhodopsin like)
21,flp-13,dmsr-7,53.75,FLP,A (rhodopsin like)
22,flp-16,dmsr-7,198.3,FLP,A (rhodopsin like)
23,flp-23,dmsr-7,6.301,FLP,A (rhodopsin like)
24,flp-27,dmsr-7,397.8,FLP,A (rhodopsin like)
25,flp-4,dmsr-7,18.1,FLP,A (rhodopsin like)
26,flp-5,dmsr-7,49.1,FLP,A (rhodopsin like)
27,flp-7,dmsr-7,211.1,FLP,A (rhodopsin like)
28,flp-9,dmsr-7,93.94,FLP,A (rhodopsin like)
29,flp-12,dmsr-8,25.26,FLP,A (rhodopsin like)
30,flp-10,egl-6,2.03,FLP,A (rhodopsin like)
31,flp-17,egl-6,3.64,FLP,A (rhodopsin like)
32,flp-4,egl-6,460.0,FLP,A (rhodopsin like)
33,flp-5,egl-6,269.0,FLP,A (rhodopsin like)
34,flp-6,egl-6,458.0,FLP,A (rhodopsin like)
35,flp-9,egl-6,65.4,FLP,A (rhodopsin like)
36,flp-8,frpr-15,19.95,FLP,A (rhodopsin like)
37,flp-3,frpr-16,7.479,FLP,A (rhodopsin like)
38,flp-2,frpr-18,6.973,FLP,A (rhodopsin like)
39,flp-14,frpr-19,42.42,FLP,A (rhodopsin like)
40,flp-8,frpr-19,88.59,FLP,A (rhodopsin like)
41,flp-20,frpr-3,0.8816,FLP,A (rhodopsin like)
42,flp-33,frpr-6,101.2,FLP,A (rhodopsin like)
43,flp-1,frpr-7,7.253,FLP,A (rhodopsin like)
44,flp-10,frpr-8,438.0,FLP,A (rhodopsin like)
45,flp-11,frpr-8,62.22,FLP,A (rhodopsin like)
46,flp-12,frpr-8,25.62,FLP,A (rhodopsin like)
47,flp-13,frpr-8,28.13,FLP,A (rhodopsin like)
48,flp-14,frpr-8,247.5,FLP,A (rhodopsin like)
49,flp-16,frpr-8,194.9,FLP,A (rhodopsin like)
50,flp-17,frpr-8,28.18,FLP,A (rhodopsin like)
51,flp-25,frpr-8,0.0007,FLP,A (rhodopsin like)
52,flp-32,frpr-8,169.2,FLP,A (rhodopsin like)
53,flp-4,frpr-8,43.61,FLP,A (rhodopsin like)
54,flp-8,frpr-8,83.85,FLP,A (rhodopsin like)
55,flp-9,frpr-8,1.501,FLP,A (rhodopsin like)
56,flp-19,frpr-9,37.01,FLP,A (rhodopsin like)
57,nlp-47,gnrr-1,62.2,NLP,A (rhodopsin like)
58,nlp-23,gnrr-3,157.6,NLP,A (rhodopsin like)
59,nlp-2,gnrr-6,20.02,NLP,A (rhodopsin like)
60,nlp-22,gnrr-6,4.814,NLP,A (rhodopsin like)
61,nlp-23,gnrr-6,98.04,NLP,A (rhodopsin like)
62,nlp-44,nmur-1,3.62,NLP,A (rhodopsin like)
63,nlp-44,nmur-2,0.0636,NLP,A (rhodopsin like)
64,flp-21,npr-1,5.077,FLP,A (rhodopsin like)
65,flp-3,npr-10,96.73,FLP,A (rhodopsin like)
66,flp-34,npr-11,13.17,FLP,A (rhodopsin like)
67,flp-21,npr-2,37.21,FLP,A (rhodopsin like)
68,nlp-72,npr-22,1.084,NLP,A (rhodopsin like)
69,flp-15,npr-3,11.52,FLP,A (rhodopsin like)
70,nlp-64,npr-32,60.28,NLP,A (rhodopsin like)
71,snet-1,npr-34,14.2,NLP,A (rhodopsin like)
72,nlp-10,npr-35,297.7,NLP,A (rhodopsin like)
73,nlp-17,npr-37,0.0106,NLP,A (rhodopsin like)
74,flp-14,npr-39,70.75,FLP,A (rhodopsin like)
75,flp-8,npr-39,228.7,FLP,A (rhodopsin like)
76,flp-18,npr-4,19.9,FLP,A (rhodopsin like)
77,flp-14,npr-40,117.2,FLP,A (rhodopsin like)
78,flp-8,npr-40,221.0,FLP,A (rhodopsin like)
79,nlp-13,npr-41,62.73,NLP,A (rhodopsin like)
80,nlp-3,npr-42,457.5,NLP,A (rhodopsin like)
81,nlp-17,npr-43,91.87,NLP,A (rhodopsin like)
82,flp-18,npr-5,8.056,FLP,A (rhodopsin like)
83,flp-27,npr-8,6.784,FLP,A (rhodopsin like)
84,flp-8,ntr-1,49.2,FLP,A (rhodopsin like)
85,ntc-1,ntr-1,24.36,NLP,A (rhodopsin like)
86,nlp-37,pdfr-1,94.44,NLP,B (secretin like)
87,nlp-49,seb-3,68.57,NLP,B (secretin like)
88,nlp-42,sprr-1,8.084,NLP,A (rhodopsin like)
89,nlp-38,sprr-2,6.012,NLP,A (rhodopsin like)
90,nlp-58,tkr-1,0.7197,NLP,A (rhodopsin like)
91,nlp-58,tkr-2,145.9,NLP,A (rhodopsin like)
92,nlp-54,trhr-1,0.3371,NLP,A (rhodopsin like)
